date,state,cases,deaths
2020-03-02,Arizona,1,0
2020-03-02,California,38,0
2020-03-02,Florida,2,0
2020-03-02,New York,1,0
2020-03-02,Texas,11,0
2020-03-03,Arizona,2,0
2020-03-03,California,45,0
2020-03-03,Florida,3,0
2020-03-03,New York,2,0
2020-03-03,Texas,11,0
2020-03-04,Arizona,2,0
2020-03-04,California,55,1
2020-03-04,Florida,3,0
2020-03-04,New York,11,0
2020-03-04,Texas,12,0
2020-03-05,Arizona,2,0
2020-03-05,California,67,1
2020-03-05,Florida,4,0
2020-03-05,New York,22,0
2020-03-05,Texas,16,0
2020-03-06,Arizona,3,0
2020-03-06,California,81,1
2020-03-06,Florida,7,2
2020-03-06,New York,44,0
2020-03-06,Texas,19,0
2020-03-07,Arizona,5,0
2020-03-07,California,100,1
2020-03-07,Florida,12,2
2020-03-07,New York,89,0
2020-03-07,Texas,19,0
2020-03-08,Arizona,5,0
2020-03-08,California,112,1
2020-03-08,Florida,13,2
2020-03-08,New York,106,0
2020-03-08,Texas,23,0
2020-03-09,Arizona,6,0
2020-03-09,California,172,2
2020-03-09,Florida,14,2
2020-03-09,New York,142,0
2020-03-09,Texas,24,0
2020-03-10,Arizona,6,0
2020-03-10,California,179,3
2020-03-10,Florida,23,2
2020-03-10,New York,173,0
2020-03-10,Texas,31,0
2020-03-11,Arizona,9,0
2020-03-11,California,202,4
2020-03-11,Florida,26,2
2020-03-11,New York,217,0
2020-03-11,Texas,33,0
2020-03-12,Arizona,9,0
2020-03-12,California,252,4
2020-03-12,Florida,46,2
2020-03-12,New York,326,0
2020-03-12,Texas,41,0
2020-03-13,Alabama,6,0
2020-03-13,Arizona,9,0
2020-03-13,California,320,5
2020-03-13,Florida,70,2
2020-03-13,New York,421,0
2020-03-13,Texas,58,0
2020-03-14,Alabama,12,0
2020-03-14,Arizona,12,0
2020-03-14,California,381,5
2020-03-14,Florida,70,3
2020-03-14,New York,610,2
2020-03-14,Texas,69,0
2020-03-15,Alabama,23,0
2020-03-15,Arizona,13,0
2020-03-15,California,478,6
2020-03-15,Florida,109,3
2020-03-15,New York,732,6
2020-03-15,Texas,80,0
2020-03-16,Alabama,29,0
2020-03-16,Arizona,18,0
2020-03-16,California,588,11
2020-03-16,Florida,141,4
2020-03-16,New York,950,10
2020-03-16,Texas,87,1
2020-03-17,Alabama,39,0
2020-03-17,Arizona,20,0
2020-03-17,California,732,14
2020-03-17,Florida,210,6
2020-03-17,New York,1375,18
2020-03-17,Texas,106,1
2020-03-18,Alabama,51,0
2020-03-18,Arizona,28,0
2020-03-18,California,893,17
2020-03-18,Florida,326,7
2020-03-18,New York,2387,32
2020-03-18,Texas,166,2
2020-03-19,Alabama,78,0
2020-03-19,Arizona,47,0
2020-03-19,California,1067,19
2020-03-19,Florida,434,8
2020-03-19,New York,4161,39
2020-03-19,Texas,248,4
2020-03-20,Alabama,106,0
2020-03-20,Arizona,70,1
2020-03-20,California,1283,24
2020-03-20,Florida,564,9
